,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2901,Nik Stauskas,2018-19,25,TOT,NBA,1.1,68,0,1015,136,338,66,150,70,188,57,64,18,109,127,81,21,7,51,50,399,0.402,0.44,0.372,0.506,0.891,0.545
2902,Lance Stephenson,2018-19,28,LAL,NBA,1.1,68,3,1123,184,432,111,235,73,197,50,73,32,183,215,140,41,7,86,111,491,0.426,0.472,0.371,0.51,0.685,0.529
2903,Sebastian Telfair,2011-12,26,PHO,NBA,1.1,60,1,895,141,342,108,237,33,105,53,67,20,71,91,138,41,12,68,120,368,0.412,0.456,0.314,0.461,0.791,0.495
2904,Kurt Thomas,2012-13,40,NYK,NBA,1.1,39,17,392,45,83,44,82,1,1,6,13,24,65,89,21,10,16,8,52,97,0.542,0.537,1,0.548,0.462,0.547
2905,Kurt Thomas,2011-12,39,POR,NBA,1.1,53,3,803,73,157,73,157,0,0,14,20,39,149,188,46,24,31,31,123,160,0.465,0.465,,0.465,0.7,0.483
2906,Tristan Thompson,2011-12,20,CLE,NBA,1.1,60,25,1424,194,442,194,440,0,2,106,192,187,202,389,27,27,62,81,134,494,0.439,0.441,0,0.439,0.552,0.469
2907,Ronny Turiaf,2012-13,30,LAC,NBA,1.1,65,0,701,49,97,49,97,0,0,23,63,45,107,152,35,19,35,29,80,121,0.505,0.505,,0.505,0.365,0.485
2908,Sasha Vuja_i_,2015-16,31,NYK,NBA,1.1,61,25,908,106,277,54,134,52,143,32,39,26,123,149,84,34,5,44,83,296,0.383,0.403,0.364,0.477,0.821,0.503
2909,Dwyane Wade,2017-18,36,TOT,NBA,1.1,67,3,1536,299,682,267,571,32,111,135,189,50,202,252,228,61,47,140,124,765,0.438,0.468,0.288,0.462,0.714,0.5
2910,Von Wafer,2010-11,25,BOS,NBA,1.1,58,2,553,67,159,49,92,18,67,32,38,7,42,49,35,18,5,20,39,184,0.421,0.533,0.269,0.478,0.842,0.524
2911,Dion Waiters,2014-15,23,TOT,NBA,1.1,80,23,2208,375,946,302,700,73,246,117,172,41,151,192,163,90,21,113,155,940,0.396,0.431,0.297,0.435,0.68,0.46
2912,Henry Walker,2010-11,23,NYK,NBA,1.1,61,1,784,104,236,45,83,59,153,31,44,16,106,122,34,21,6,37,81,298,0.441,0.542,0.386,0.566,0.705,0.583
