,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1201,Dennis Schröder,2018-19,25,OKC,NBA,2.9,79,14,2314,457,1104,333,740,124,364,186,227,38,246,284,323,65,12,172,189,1224,0.414,0.45,0.341,0.47,0.819,0.508
1202,Ramon Sessions,2012-13,26,CHA,NBA,2.9,61,0,1652,276,676,243,569,33,107,291,347,27,142,169,230,48,7,104,91,876,0.408,0.427,0.308,0.433,0.839,0.529
1203,Marcus Smart,2014-15,20,BOS,NBA,2.9,67,38,1808,175,477,84,205,91,272,82,127,61,161,222,208,99,18,90,176,523,0.367,0.41,0.335,0.462,0.646,0.491
1204,Marcus Smart,2015-16,21,BOS,NBA,2.9,61,10,1667,184,529,123,288,61,241,129,166,76,179,255,185,91,18,80,183,558,0.348,0.427,0.253,0.405,0.777,0.463
1205,P.J. Tucker,2012-13,27,PHO,NBA,2.9,79,45,1910,210,444,188,374,22,70,64,86,132,218,350,109,62,19,67,145,506,0.473,0.503,0.314,0.498,0.744,0.525
1206,Marvin Williams,2013-14,27,UTA,NBA,2.9,66,50,1674,231,526,147,292,84,234,57,73,82,252,334,78,54,31,53,151,603,0.439,0.503,0.359,0.519,0.781,0.54
1207,Tyler Zeller,2017-18,28,TOT,NBA,2.9,66,34,1109,187,334,177,306,10,28,57,79,110,195,305,47,15,35,47,126,441,0.56,0.578,0.357,0.575,0.722,0.598
1208,Lavoy Allen,2014-15,25,IND,NBA,2.8,63,0,1070,141,299,141,299,0,0,33,47,123,200,323,73,15,42,40,102,315,0.472,0.472,,0.472,0.702,0.493
1209,D.J. Augustin,2012-13,25,IND,NBA,2.8,76,5,1226,103,294,36,104,67,190,83,99,20,71,91,170,34,3,68,64,356,0.35,0.346,0.353,0.464,0.838,0.527
1210,Leandro Barbosa,2014-15,32,GSW,NBA,2.8,66,1,982,183,386,140,274,43,112,58,74,23,68,91,99,41,8,44,87,467,0.474,0.511,0.384,0.53,0.784,0.558
1211,J.J. Barea,2015-16,31,DAL,NBA,2.8,74,16,1667,317,711,217,451,100,260,74,96,26,126,152,302,26,2,113,110,808,0.446,0.481,0.385,0.516,0.771,0.536
1212,Harrison Barnes,2012-13,20,GSW,NBA,2.8,81,81,2058,276,628,224,483,52,145,144,190,53,280,333,98,52,14,101,140,748,0.439,0.464,0.359,0.481,0.758,0.526
