,,,,,,Totals,,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
301,Nikola Jokić,2015-16,20,DEN,NBA,6.7,80,55,1733,307,600,279,516,28,84,154,190,181,379,560,189,79,50,104,208,796,0.512,0.541,0.333,0.535,0.811,0.582
302,Brook Lopez,2018-19,30,MIL,NBA,6.7,81,81,2322,355,786,168,274,187,512,112,133,33,363,396,98,51,179,82,189,1009,0.452,0.613,0.365,0.571,0.842,0.597
303,Khris Middleton,2014-15,23,MIL,NBA,6.7,79,58,2378,406,869,297,601,109,268,134,156,48,299,347,182,122,11,113,183,1055,0.467,0.494,0.407,0.53,0.859,0.563
304,Paul Millsap,2013-14,28,ATL,NBA,6.7,74,73,2482,483,1047,407,835,76,212,286,391,154,473,627,232,129,78,185,210,1328,0.461,0.487,0.358,0.498,0.731,0.545
305,Nikola Peković,2012-13,27,MIN,NBA,6.7,62,62,1959,385,741,385,741,0,0,241,324,230,315,545,53,43,50,101,143,1011,0.52,0.52,,0.52,0.744,0.572
306,J.J. Redick,2014-15,30,LAC,NBA,6.7,78,78,2409,447,938,247,480,200,458,183,203,22,145,167,137,39,8,95,134,1277,0.477,0.515,0.437,0.583,0.901,0.622
307,J.J. Redick,2015-16,31,LAC,NBA,6.7,75,75,2097,422,880,222,459,200,421,182,205,10,129,139,106,42,5,78,135,1226,0.48,0.484,0.475,0.593,0.888,0.632
308,J.R. Smith,2012-13,27,NYK,NBA,6.7,80,0,2678,527,1249,372,813,155,436,237,311,64,361,425,218,100,24,134,226,1446,0.422,0.458,0.356,0.484,0.762,0.522
309,Klay Thompson,2013-14,23,GSW,NBA,6.7,81,81,2868,559,1259,336,724,223,535,147,185,38,211,249,181,74,37,135,234,1488,0.444,0.464,0.417,0.533,0.795,0.555
310,Jonas Valančiūnas,2013-14,21,TOR,NBA,6.7,81,81,2282,359,676,359,675,0,1,198,260,226,488,714,57,24,71,136,249,916,0.531,0.532,0,0.531,0.762,0.579
311,Lou Williams,2017-18,31,LAC,NBA,6.7,79,19,2589,582,1337,396,819,186,518,432,491,40,158,198,417,85,19,234,106,1782,0.435,0.484,0.359,0.505,0.88,0.574
312,Trevor Ariza,2014-15,29,HOU,NBA,6.6,82,82,2930,366,910,172,355,194,555,122,143,77,382,459,209,152,17,141,186,1048,0.402,0.485,0.35,0.509,0.853,0.539
313,Tobias Harris,2015-16,23,TOT,NBA,6.6,76,74,2513,417,889,337,650,80,239,202,243,96,414,510,169,65,40,108,153,1116,0.469,0.518,0.335,0.514,0.831,0.56
314,Dwight Howard,2015-16,30,HOU,NBA,6.6,71,71,2280,372,600,372,594,0,6,232,474,238,597,835,98,69,113,166,219,976,0.62,0.626,0,0.62,0.489,0.604
315,Kyle Lowry,2018-19,32,TOR,NBA,6.6,65,65,2213,304,739,147,286,157,453,161,194,41,271,312,564,91,31,182,166,926,0.411,0.514,0.347,0.518,0.83,0.562
316,CJ McCollum,2017-18,26,POR,NBA,6.6,81,81,2923,667,1505,478,1029,189,476,209,250,53,268,321,272,77,35,151,168,1732,0.443,0.465,0.397,0.506,0.836,0.536
317,Chris Paul,2018-19,33,HOU,NBA,6.6,58,58,1857,302,720,175,365,127,355,175,203,36,229,265,473,114,18,152,146,906,0.419,0.479,0.358,0.508,0.862,0.56
318,Dwight Powell,2017-18,26,DAL,NBA,6.6,79,25,1672,255,430,227,346,28,84,133,185,135,309,444,91,67,32,59,186,671,0.593,0.656,0.333,0.626,0.719,0.656
319,Julius Randle,2017-18,23,LAL,NBA,6.6,82,49,2190,504,904,494,859,10,45,305,425,181,473,654,210,43,45,213,274,1323,0.558,0.575,0.222,0.563,0.718,0.606
320,J.J. Redick,2017-18,33,PHI,NBA,6.6,70,70,2116,404,879,211,419,193,460,197,218,9,169,178,210,35,6,103,123,1198,0.46,0.504,0.42,0.569,0.904,0.614
321,Dario Šarić,2017-18,23,PHI,NBA,6.6,78,73,2310,403,890,246,491,157,399,178,207,154,366,520,202,51,20,148,160,1141,0.453,0.501,0.393,0.541,0.86,0.582
322,Lou Williams,2014-15,28,TOR,NBA,6.6,80,0,2016,375,928,223,481,152,447,340,395,24,127,151,164,88,10,101,103,1242,0.404,0.464,0.34,0.486,0.861,0.564
323,Steven Adams,2016-17,23,OKC,NBA,6.5,80,80,2389,374,655,374,654,0,1,157,257,281,332,613,86,89,78,146,195,905,0.571,0.572,0,0.571,0.611,0.589
324,Steven Adams,2015-16,22,OKC,NBA,6.5,80,80,2014,261,426,261,426,0,0,114,196,219,314,533,62,42,89,84,223,636,0.613,0.613,,0.613,0.582,0.621
325,Ryan Anderson,2012-13,24,NOH,NBA,6.5,81,22,2503,472,1115,259,558,213,557,152,180,191,328,519,97,42,31,97,179,1309,0.423,0.464,0.382,0.519,0.844,0.548
326,Andrew Bogut,2013-14,29,GSW,NBA,6.5,67,67,1769,235,375,235,375,0,0,22,64,182,489,671,112,47,121,97,210,492,0.627,0.627,,0.627,0.344,0.61
327,Malcolm Brogdon,2018-19,26,MIL,NBA,6.5,64,64,1832,378,748,274,504,104,244,141,152,65,223,288,205,46,13,91,102,1001,0.505,0.544,0.426,0.575,0.928,0.614
328,Mike Dunleavy,2013-14,33,CHI,NBA,6.5,82,61,2584,333,774,210,450,123,324,140,164,46,299,345,186,64,46,108,163,929,0.43,0.467,0.38,0.51,0.854,0.549
329,Kenneth Faried,2013-14,24,DEN,NBA,6.5,80,77,2178,447,820,447,817,0,3,202,311,238,446,684,96,70,69,135,193,1096,0.545,0.547,0,0.545,0.65,0.573
330,Kosta Koufos,2012-13,23,DEN,NBA,6.5,81,81,1817,295,508,295,507,0,1,58,104,211,351,562,32,44,103,53,246,648,0.581,0.582,0,0.581,0.558,0.585
331,Josh McRoberts,2013-14,26,CHA,NBA,6.5,78,78,2360,247,566,142,275,105,291,62,85,85,288,373,333,58,46,83,189,661,0.436,0.516,0.361,0.529,0.729,0.548
332,Tyler Zeller,2014-15,25,BOS,NBA,6.5,82,59,1731,340,619,340,619,0,0,153,186,146,319,465,113,18,52,76,205,833,0.549,0.549,,0.549,0.823,0.594
333,Carmelo Anthony,2015-16,31,NYK,NBA,6.4,72,72,2530,567,1307,462,997,105,310,334,403,98,458,556,299,62,38,176,180,1573,0.434,0.463,0.339,0.474,0.829,0.53
334,Chris Bosh,2015-16,31,MIA,NBA,6.4,53,53,1778,358,767,277,545,81,222,213,268,48,342,390,128,36,34,78,101,1010,0.467,0.508,0.365,0.52,0.795,0.571
335,Luol Deng,2015-16,30,MIA,NBA,6.4,74,73,2394,339,745,251,489,88,256,145,192,108,335,443,140,74,29,81,122,911,0.455,0.513,0.344,0.514,0.755,0.549
336,Pau Gasol,2016-17,36,SAS,NBA,6.4,64,39,1627,303,604,247,500,56,104,130,184,107,394,501,150,24,70,81,110,792,0.502,0.494,0.538,0.548,0.707,0.578
337,Rudy Gobert,2015-16,23,UTA,NBA,6.4,61,60,1932,198,354,198,354,0,0,161,283,208,460,668,91,45,135,114,163,557,0.559,0.559,,0.559,0.569,0.582
338,Enes Kanter,2014-15,22,TOT,NBA,6.4,75,74,2135,482,928,466,883,16,45,183,234,277,394,671,55,36,29,145,189,1163,0.519,0.528,0.356,0.528,0.782,0.564
339,Kyle Korver,2012-13,31,ATL,NBA,6.4,74,60,2259,277,601,88,187,189,414,67,78,23,270,293,146,70,37,70,170,810,0.461,0.471,0.457,0.618,0.859,0.637
340,Kevin Love,2016-17,28,CLE,NBA,6.4,60,60,1885,370,867,225,478,145,389,257,295,148,518,666,116,53,21,122,125,1142,0.427,0.471,0.373,0.51,0.871,0.573
341,Kevin Love,2017-18,29,CLE,NBA,6.4,59,59,1651,334,729,197,399,137,330,234,266,101,445,546,103,43,24,90,120,1039,0.458,0.494,0.415,0.552,0.88,0.614
342,Paul Millsap,2016-17,31,ATL,NBA,6.4,69,67,2343,430,972,355,731,75,241,311,405,111,422,533,252,90,62,158,186,1246,0.442,0.486,0.311,0.481,0.768,0.542
343,Markieff Morris,2013-14,24,PHO,NBA,6.4,81,0,2153,411,845,377,737,34,108,259,327,139,346,485,144,68,51,147,232,1115,0.486,0.512,0.315,0.507,0.792,0.564
344,Zach Randolph,2013-14,32,MEM,NBA,6.4,79,79,2705,560,1198,558,1178,2,20,250,337,265,530,795,200,54,23,183,210,1372,0.467,0.474,0.1,0.468,0.742,0.51
345,Matt Barnes,2012-13,32,LAC,NBA,6.3,80,4,2058,312,675,201,350,111,325,87,117,111,255,366,123,82,63,90,233,822,0.462,0.574,0.342,0.544,0.744,0.566
346,José Calderón,2013-14,32,DAL,NBA,6.3,81,81,2468,341,748,150,323,191,425,52,63,29,163,192,377,69,11,103,136,925,0.456,0.464,0.449,0.584,0.825,0.596
347,Ed Davis,2014-15,25,LAL,NBA,6.3,79,24,1840,282,469,282,469,0,0,92,189,230,370,600,94,49,98,58,202,656,0.601,0.601,,0.601,0.487,0.594
348,Luol Deng,2012-13,27,CHI,NBA,6.3,75,75,2903,466,1093,391,860,75,233,230,282,162,314,476,222,81,32,144,105,1237,0.426,0.455,0.322,0.461,0.816,0.508
349,DeMar DeRozan,2018-19,29,SAS,NBA,6.3,77,77,2688,631,1313,624,1268,7,45,366,441,54,408,462,475,86,36,199,177,1635,0.481,0.492,0.156,0.483,0.83,0.542
350,Danilo Gallinari,2015-16,27,DEN,NBA,6.3,53,53,1839,287,700,200,461,87,239,375,432,52,229,281,135,42,19,77,87,1036,0.41,0.434,0.364,0.472,0.868,0.582
351,Al Horford,2016-17,30,BOS,NBA,6.3,68,68,2193,379,801,293,559,86,242,108,135,95,370,465,337,52,86,115,138,952,0.473,0.524,0.355,0.527,0.8,0.553
352,Amir Johnson,2013-14,26,TOR,NBA,6.3,77,72,2214,344,612,324,546,20,66,91,143,172,333,505,115,56,88,123,271,799,0.562,0.593,0.303,0.578,0.636,0.592
353,Ty Lawson,2013-14,26,DEN,NBA,6.3,62,61,2222,347,806,275,604,72,202,324,406,40,175,215,543,100,10,200,113,1090,0.431,0.455,0.356,0.475,0.798,0.554
354,Myles Turner,2018-19,22,IND,NBA,6.3,74,74,2119,380,780,304,584,76,196,148,201,101,430,531,115,60,199,100,195,984,0.487,0.521,0.388,0.536,0.736,0.567
355,Martell Webster,2012-13,26,WAS,NBA,6.3,76,62,2200,281,636,142,307,139,329,168,198,53,241,294,143,49,17,90,166,869,0.442,0.463,0.422,0.551,0.848,0.601
356,Hassan Whiteside,2018-19,29,MIA,NBA,6.3,72,53,1674,388,680,386,664,2,16,109,243,257,560,817,56,46,136,97,192,887,0.571,0.581,0.125,0.572,0.449,0.564
357,Cody Zeller,2015-16,23,CHO,NBA,6.3,73,60,1774,231,437,230,427,1,10,175,232,138,317,455,71,57,63,68,204,638,0.529,0.539,0.1,0.53,0.754,0.592
358,Kyle Anderson,2017-18,24,SAS,NBA,6.2,74,67,1978,231,438,212,381,19,57,104,146,84,312,396,202,115,60,94,114,585,0.527,0.556,0.333,0.549,0.712,0.582
359,Giannis Antetokounmpo,2014-15,20,MIL,NBA,6.2,81,71,2541,383,780,376,736,7,44,257,347,100,442,542,207,73,85,173,254,1030,0.491,0.511,0.159,0.496,0.741,0.552
360,D.J. Augustin,2013-14,26,TOT,NBA,6.2,71,9,1939,298,718,165,386,133,332,201,227,15,115,130,313,53,3,125,147,930,0.415,0.427,0.401,0.508,0.885,0.569
361,Will Barton,2017-18,27,DEN,NBA,6.2,81,40,2683,465,1028,309,606,156,422,182,226,70,339,409,331,82,52,149,168,1268,0.452,0.51,0.37,0.528,0.805,0.562
362,Joel Embiid,2017-18,23,PHI,NBA,6.2,63,63,1912,510,1056,444,842,66,214,359,467,143,547,690,199,40,111,234,209,1445,0.483,0.527,0.308,0.514,0.769,0.573
